歌手名字,陈奕迅
1901371647,孤勇者
65800,最佳损友
65766,富士山下
28563317,阴天快乐
35403523,陪你度过漫长岁月
25906124,不要说话
65533,红玫瑰
65536,爱情转移
65538,好久不见
66842,十年
1897927507,单车
66282,浮夸
65528,淘汰
551816010,我们
66285,葡萄成熟时
64317,因为爱情
473194652,无条件
64634,一丝不挂
65761,白玫瑰
64293,苦瓜
1496602290,是但求其爱
64093,孤独患者
28481818,可以了
65778,粤语残片
1897927500,明年今日
25730757,稳稳的幸福
28481104,娱乐天空
64126,内疚
67467,K歌之王
64922,落花流水
28481103,你给我听好
27867449,倾城 (Live)
64638,陀飞轮
64443,约定(Live)
1897927518,你的背包
27483203,失忆蝴蝶
26608787,岁月如歌
1897927516,兄妹
438801672,让我留在你身边
65923,人来人往 (Live)
64797,于心有愧
64048,完
65769,不如不见
28160884,"与我常在 (Live In Hong Kong, 2013)"
64833,沙龙
1980767139,慢慢喜欢你 (Live at EasON AIR)
64625,无人之境
1462659723,Shall We Talk (Tre Lune MMXIX)
65355,圣诞结
27483204,斯德哥尔摩情人
